Superpathway,Bacteria,Firmicutes,Actinobacteria,Proteobacteria,Viruses,Cucurbit chlorotic yellows virus,Tobacco mild green mosaic virus,Eubacteriales,Oscillospiraceae,Ruminococcus,Lachnospiraceae,Roseburia,Coprococcus,Eubacterium,Eggerthellaceae,Catenibacterium mitsuokai,Enterobacterales,Bacteroidales,Lactobacillales,Methanobrevibacter smithii,Treponema succinifaciens,Methanosphaera stadtmanae,Bifidobacterium,Alistipes sp. CAG:435,Prevotella,Prevotella copri,Clostridium,Bacteroides,Blautia obeum,[Ruminococcus] torques,Blautia wexlerae
Amino acid metabolism,764.3389267628569,211.91287831085955,199.20928962637456,416.0104384657652,0.4418839576288117,0.0,0.0,683.8458554011168,345.7649868294263,122.33650972676408,532.3848712036352,374.99211260819766,36.987569737810546,312.3428516881342,67.07600349134817,7.528674894380256,145.37734099260672,221.1845565677869,207.0433963409346,1027.025621680708,1411.6127071672415,417.5491475300155,53.41700927823641,579.4018133484649,1290.101350018129,280.77214483182087,1127.0491189048573,923.8718248678014,66.45012674150584,46.70223210046644,52.47459647956056
Biosynthesis of other secondary metabolites,110.04607060346747,33.3306115968483,18.671431265019297,125.63634761287238,0.0,0.0,0.0,43.41335573161334,68.66153124032948,37.51790489631952,80.0154778407576,115.3552169764169,3.4817973109411584,73.72586647318114,4.239677475206035,2.1365459184924975,42.506814668733064,37.992204616902704,40.37586809123494,239.43347610354687,361.12043723364025,59.794664978301434,15.640550776980632,3196.8274136328723,413.7788956880305,121.44823050524437,173.222463840178,191.9024330826534,31.868821649213714,6.225078122608666,40.527236625560214
Carbohydrate metabolism,979.2019477945378,410.0597663120447,187.89799549522684,449.8384347368631,0.0,0.0,0.0,378.21588820792545,634.5148697947706,590.6302475555265,1011.1011659084722,5816.984867519514,91.54089505598955,1056.2350246492038,16.55413798202049,10.264119722544558,207.3075868851906,482.1982750508679,734.5099469387592,930.5993330336609,3417.119266007613,361.0652438826455,109.41484125961645,4197.764470729156,4274.838485588914,1311.790590751775,1118.1999013093728,1994.0450863929207,315.4100628676317,102.8435989022868,190.16921103036032
Chemical structure transformation maps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy metabolism,1196.494852086092,295.7014327972653,147.08232922364334,926.1829567088101,0.32668634877433544,0.0,0.0,454.07241759830225,549.9890830987687,188.59825767280515,617.092400059635,4088.309519307804,70.95330181095059,696.1249298393027,62.36251634940096,1.5032592470494115,138.46448603864306,428.45911465044935,537.5265566468296,9098.50301537992,2038.6372895023803,1398.6840130852938,52.360764118263646,3693.891212071249,3693.901153328645,853.2999795777049,396.7779478602626,1592.637875656415,192.97583573921574,78.84675716440012,143.40082314805713
Global and overview maps,736.3986934838156,129.29532301574963,141.69342300389238,700.0126019125358,0.0,0.0,0.0,368.8866744977412,259.4149336923771,124.85525998358489,323.00362938182747,3800.4994508665513,15.699657719822412,338.62204294500657,37.87962141125803,3.9884676560121983,138.99924320869295,266.56023211538775,288.72488551390285,6699.119864453885,1100.9168500039425,297.7270799741459,18.110046278249232,523.482617308358,2288.7699291573904,329.05337207173955,305.9752133183013,671.2935277719778,34.6766671711924,35.55942174877905,75.99938200530273
Glycan biosynthesis and metabolism,70.95760108531262,30.73353122134999,31.42867848208501,29.77918435409987,0.0,0.0,0.0,19.050410040714517,76.42171908035893,14.220139702083003,54.52569488287338,29.33632313724846,5.668960904399823,53.98182305889542,1.072073910616367,6.0613457202686405,226.82060414216915,32.70213126981228,24.125318345450463,83.48583736440047,198.6899008463102,110.1803173844215,7.246021111590861,231.7029111693525,371.4833203440418,90.44644376765459,93.93206350500682,111.25563827951085,16.441141429403647,3.752275178343371,23.729520205910486
Lipid metabolism,113.06437149871336,35.00641247937349,28.226958383974164,200.00683213940226,0.32668634877433544,0.0,0.0,121.52359861671061,112.86702264947111,23.863990239348208,173.49490725314772,53.402080803729355,20.93997243187957,103.34529182640823,0.5459535296701434,2.417628064676413,65.62265074930711,147.07216953007304,38.46756489149144,94.63760156768714,602.016394460168,43.45757206375674,8.552009034709496,538.3348943536821,571.9994970330915,149.3994867054249,64.43883441251505,366.3909606639343,42.485502107915515,3.608623377081371,5.136006729946615
Metabolism of cofactors and vitamins,476.0523039087173,95.30351038189193,195.64398009320422,377.4660597232617,0.0,0.0,0.0,85.08686973471922,242.7415102452258,134.07555040100885,213.2655038893309,114.12269284747029,11.444588100091394,329.6661877431945,23.75497260884217,5.377310721796999,377.83754760127033,149.43085588801375,80.17736924444017,1062.486713476356,1165.3988017919555,290.044411626111,28.846635735135177,1861.6974852198878,1346.187059023872,257.8058959959748,228.83372909085065,572.7479036082347,61.50796189828456,36.394825545408054,26.805773834977675
Metabolism of other amino acids,185.41974500848295,82.18272844180255,42.61079434736738,135.21448786943208,0.32668634877433544,0.0,0.0,79.79540733896447,141.18451119645152,17.384748719946167,116.80323195567405,77.0827077318254,36.03307867875079,80.56340382719617,2.832463382748048,4.094011224078617,49.25925045542772,43.59811611333586,49.0094874302664,72.27563823049789,167.85517390334337,61.085726524340004,7.690086847059736,3197.555053928451,477.16319181150703,66.06366613910329,104.40833735671026,576.3651826043545,10.451704147067586,8.138039667967512,25.06350033134652
